"","Q26","Q5Post","Q3FUS_Yes","Q3FUS_No","Q3Post","sp43fatheduc","sp44motheduc","sq39jobl","sp61pay","sq41preparealll","sp54homesup","sp47mpersonparent","sp41weak","sqr25grade","sqr29confident","sq48gradel","switcher_group","is_switcher","fath_educ","moth_educ","work","class","pay","sum_ses","low_ses","weak","end_grad","ability","sum_belief","no_belief","homesupp","parent_belief","sum_home","no_home_supp"
"1","Yes","Yes"," "," ","Yes","Some college","Graduate school",0,"Strongly disagree",13,"Strongly","Very much","Slightly disagree",3,"Agree",1,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"2","Yes",""," "," ","Yes","Graduate school","Graduate school",0,"Disagree",18,"Very strongly","Very much","Disagree",4,"Agree",4,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"3","Yes",""," "," ","Yes","Graduate school","Graduate school",3,"Slightly agree",35,"Very strongly","Very much","Strongly disagree",3,"Agree",2,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"4","Yes","Yes"," "," ","Yes","High school","Did not finish high school",0,"Slightly agree",13,"Very strongly","3","Disagree",4,"Agree",4,16,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"5","Yes","Yes"," "," ","Yes","High school","Some college",3,"Slightly disagree",25.5,"Strongly","4","Disagree",4,"Agree",4,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"6","Yes","Yes"," "," ","Yes","High school","High school",0,"Slightly agree",13,"Very strongly","4","Strongly agree",4,"Agree",4,16,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"7","Dont know/ Not sure/ N/A","Yes"," "," ","Yes","Some college","Some college",0,"Slightly agree",35,"Somewhat","2","Agree",2,"Slightly disagree",3,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,FALSE,1,TRUE
"8","Yes","Yes"," "," ","Yes","Four years of college","Some college",0,"Strongly disagree",35,"Very strongly","4","Strongly disagree",4,"Strongly agree",4,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"9","Yes","Yes","Yes"," ","Yes","Four years of college","Some college",18,"Agree",18,"Strongly","2","Disagree",4,"Agree",3,12,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"10","Dont know/ Not sure/ N/A","No"," "," ","Yes","Graduate school","Four years of college",0,"Slightly disagree",35,"Strongly","4","Slightly disagree",4,"Agree",3.67,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
